"Depth","Display Name","Type","Continuous Quantity","Dictionary","Current Expression","Projected Expression","Variant Expression","Maturity State(R)","Current Evolution Expression","Description(R)","Planning Required(R)","Projected Evolution Expression","Bundle","B.I.","Title(R)","Name(R)","Revision(R)","Revision Comment(R)","Number of Manufacturing Assembly(R)","Outsourced(R)","Estimated Time(R)","Estimated Cost(R)","Estimated Cost currency(R)","Lead Time Description(R)","Manufactured Item classification(R)","Spare Manufactured Item(R)","Material Category(R)","Estimated Weight(R)","Target Release date(R)","Creation date(R)","Created From(R)","Last modification(R)","Collaborative Policy(R)","Owner(R)","Organization(R)","Collaborative Space(R)","Is Lot Number Required(R)","Is Serial Number Required(R)","Operation State(R)","Planned Start(R)","Planned End(R)","Actual Start(R)","Actual End(R)","Name","Description","Creation date","Last modification","Owner","Organization","Collaborative Space","Deformed Part","Quantity","Torque code","Nominal fastening torque","Torque maximum lower deviation","Torque maximum upper deviation","Entry hole depth","Entry hole countersunk angle","Entry hole type","Entry hole counterbore diameter","Assembly clearance","Boring code","Nominal drilling diameter","Drilling diameter maximum lower deviation","Drilling diameter maximum upper deviation","Head orientation","Quantity(R)"
"4","Manufacturing Assembly00000599 A (Manufacturing Assembly00000599.55)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","Manufacturing Assembly00000599","mass-R1132101478896-00000599","A","","","No","0s","0","","","","False","","0kg","","06/14/2024","","06/14/2024","Engineering Definition","kverma8000","Company Name","Common Space","False","False","","","","","","Manufacturing Assembly00000599.55","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"5","Steering Bellcrank L A (NAUO358)","Provided Part","1","","","","","In Work","","","","","","112128144","Steering Bellcrank L","prvd-R1132101478896-00001700","A","","","","0s","0","","","","False","","0kg","","04/11/2024","","04/11/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO358","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"5","Spring Servo Saver A (NAUO359)","Provided Part","1","","","","","In Work","","","","","","112128144","Spring Servo Saver","prvd-R1132101478896-00001701","A","","","","0s","0","","","","False","","0kg","","04/11/2024","","04/11/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO359","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"5","Servo Saver Horn A (NAUO370)","Provided Part","1","","","","","In Work","","","","","","112128144","Servo Saver Horn","prvd-R1132101478896-00001705","A","","","","0s","0","","","","False","","0kg","","04/11/2024","","04/11/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO370","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"5","Spring Retainer Servo Horn A (NAUO364)","Provided Part","1","","","","","In Work","","","","","","112128144","Spring Retainer Servo Horn","prvd-R1132101478896-00001703","A","","","","0s","0","","","","False","","0kg","","04/11/2024","","04/11/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO364","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"5","Ball Bearing Assy 5x8x2.5 <2>_Duplicate_39 A (NAUO363)","Provided Part","1","","","","","In Work","","","","","","112128144","Ball Bearing Assy 5x8x2.5 <2>_Duplicate_39","prvd-R1132101478896-00001702","A","","","","0s","0","","","","False","","0kg","","04/11/2024","","04/11/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO363","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Manufacturing Assembly00000600 A (Manufacturing Assembly00000600.56)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","Manufacturing Assembly00000600","mass-R1132101478896-00000600","A","","","No","0s","0","","","","False","","0kg","","06/14/2024","","06/14/2024","Engineering Definition","kverma8000","Company Name","Common Space","False","False","","","","","","Manufacturing Assembly00000600.56","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"5","Ball Connector 2742 A (NAUO320)","Provided Part","1","","","","","In Work","","","","","","112128144","Ball Connector 2742","prvd-R1132101478896-00001846","A","","","","0s","0","","","","False","","0kg","","06/14/2024","","06/14/2024","Engineering Definition","kverma8000","Company Name","Common Space","False","False","","","","","","NAUO320","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"5","Servo Saver Tube A (NAUO321)","Provided Part","1","","","","","In Work","","","","","","112128144","Servo Saver Tube","prvd-R1132101478896-00001847","A","","","","0s","0","","","","False","","0kg","","06/14/2024","","06/14/2024","Engineering Definition","kverma8000","Company Name","Common Space","False","False","","","","","","NAUO321","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"5","Steering Bellcrank R A (NAUO322)","Provided Part","1","","","","","In Work","","","","","","112128144","Steering Bellcrank R","prvd-R1132101478896-00001848","A","","","","0s","0","","","","False","","0kg","","06/14/2024","","06/14/2024","Engineering Definition","kverma8000","Company Name","Common Space","False","False","","","","","","NAUO322","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
