"Depth","Display Name","Type","Continuous Quantity","Dictionary","Current Expression","Projected Expression","Variant Expression","Maturity State(R)","Current Evolution Expression","Description(R)","Planning Required(R)","Projected Evolution Expression","Bundle","B.I.","Title(R)","Name(R)","Revision(R)","Revision Comment(R)","Number of Manufacturing Assembly(R)","Outsourced(R)","Estimated Time(R)","Estimated Cost(R)","Estimated Cost currency(R)","Lead Time Description(R)","Manufactured Item classification(R)","Spare Manufactured Item(R)","Material Category(R)","Estimated Weight(R)","Target Release date(R)","Creation date(R)","Created From(R)","Last modification(R)","Collaborative Policy(R)","Owner(R)","Organization(R)","Collaborative Space(R)","Is Lot Number Required(R)","Is Serial Number Required(R)","Operation State(R)","Planned Start(R)","Planned End(R)","Actual Start(R)","Actual End(R)","Name","Description","Creation date","Last modification","Owner","Organization","Collaborative Space","Deformed Part","Quantity","Torque code","Nominal fastening torque","Torque maximum lower deviation","Torque maximum upper deviation","Entry hole depth","Entry hole countersunk angle","Entry hole type","Entry hole counterbore diameter","Assembly clearance","Boring code","Nominal drilling diameter","Drilling diameter maximum lower deviation","Drilling diameter maximum upper deviation","Head orientation","Quantity(R)"
"1","MBOM-Racecar A","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","MBOM-Racecar","mass-R1132101478896-00000292","A","","","No","0s","0","","","","False","","0kg","","04/12/2024","","06/14/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Battery Assembly A (Battery Assembly.1)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","Battery Assembly","mass-R1132101478896-00000616","A","","","No","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","Battery Assembly.1","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"3","Traxxas Battery Assy A (Manufacturing Assembly00000617.21)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","Traxxas Battery Assy","mass-R1132101478896-00000617","A","","","No","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","Manufacturing Assembly00000617.21","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","battery pack A (NAUO504)","Provided Part","1","","","","","In Work","","","","","","112128144","battery pack","prvd-R1132101478896-00001820","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO504","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Traxxas Battery Cable GND A (NAUO505)","Provided Part","1","","","","","In Work","","","","","","112128144","Traxxas Battery Cable GND","prvd-R1132101478896-00001821","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO505","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Traxxas Connector A (NAUO506)","Provided Part","1","","","","","In Work","","","","","","112128144","Traxxas Connector","prvd-R1132101478896-00001822","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO506","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Traxxas Battery Cable Plus A (NAUO507)","Provided Part","1","","","","","In Work","","","","","","112128144","Traxxas Battery Cable Plus","prvd-R1132101478896-00001823","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO507","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"2","Cable Assembly A (Cable Assembly.1)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","Cable Assembly","mass-R1132101478896-00000612","A","","","No","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","Cable Assembly.1","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"3","VESC servo cable Assy A (Manufacturing Assembly00000613.5)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","VESC servo cable Assy","mass-R1132101478896-00000613","A","","","No","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","Manufacturing Assembly00000613.5","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","VESC Servo Cable GND A (NAUO469)","Provided Part","1","","","","","In Work","","","","","","112128144","VESC Servo Cable GND","prvd-R1132101478896-00001855","A","","","","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO469","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","VESC Servo Cable SGL A (NAUO470)","Provided Part","1","","","","","In Work","","","","","","112128144","VESC Servo Cable SGL","prvd-R1132101478896-00001856","A","","","","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO470","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","VESC Servo Plug A (NAUO471)","Provided Part","1","","","","","In Work","","","","","","112128144","VESC Servo Plug","prvd-R1132101478896-00001857","A","","","","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO471","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","VESC Servo Cable Plus A (NAUO472)","Provided Part","1","","","","","In Work","","","","","","112128144","VESC Servo Cable Plus","prvd-R1132101478896-00001858","A","","","","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO472","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"3","VESC motor cable assy A (Manufacturing Assembly00000614.10)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","VESC motor cable assy","mass-R1132101478896-00000614","A","","","No","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","Manufacturing Assembly00000614.10","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","VESC Motor Cable Y A (NAUO483)","Provided Part","1","","","","","In Work","","","","","","112128144","VESC Motor Cable Y","prvd-R1132101478896-00001859","A","","","","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO483","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","VESC Motor Cable W A (NAUO484)","Provided Part","1","","","","","In Work","","","","","","112128144","VESC Motor Cable W","prvd-R1132101478896-00001860","A","","","","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO484","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","VESC Motoro Cable B A (NAUO485)","Provided Part","1","","","","","In Work","","","","","","112128144","VESC Motoro Cable B","prvd-R1132101478896-00001861","A","","","","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO485","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"3","Lidar Power Cable Assy A (Manufacturing Assembly00000615.14)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","Lidar Power Cable Assy","mass-R1132101478896-00000615","A","","","No","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","Manufacturing Assembly00000615.14","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Lidar Booster Board Cable Plus A (NAUO474)","Provided Part","1","","","","","In Work","","","","","","112128144","Lidar Booster Board Cable Plus","prvd-R1132101478896-00001862","A","","","","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO474","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Terminal Cable Plus A (NAUO475)","Provided Part","1","","","","","In Work","","","","","","112128144","Terminal Cable Plus","prvd-R1132101478896-00001863","A","","","","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO475","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Terminal Cable GND A (NAUO476)","Provided Part","1","","","","","In Work","","","","","","112128144","Terminal Cable GND","prvd-R1132101478896-00001864","A","","","","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO476","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","DC Plug Cable Mount A (NAUO477)","Provided Part","1","","","","","In Work","","","","","","112128144","DC Plug Cable Mount","prvd-R1132101478896-00001865","A","","","","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO477","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Lidar Booster Board Cable GND A (NAUO478)","Provided Part","1","","","","","In Work","","","","","","112128144","Lidar Booster Board Cable GND","prvd-R1132101478896-00001866","A","","","","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO478","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"3","VESC Battery cable assy A (Manufacturing Assembly00000623.46)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","VESC Battery cable assy","mass-R1132101478896-00000623","A","","","No","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","Manufacturing Assembly00000623.46","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","VESC Battery Cable GND A (NAUO494)","Provided Part","1","","","","","In Work","","","","","","112128144","VESC Battery Cable GND","prvd-R1132101478896-00001825","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO494","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","VESC Battery Cable Plus A (NAUO495)","Provided Part","1","","","","","In Work","","","","","","112128144","VESC Battery Cable Plus","prvd-R1132101478896-00001826","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO495","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","XT60 Male Connector Assy <1> A (NAUO500)","Provided Part","1","","","","","In Work","","","","","","112128144","XT60 Male Connector Assy <1>","prvd-R1132101478896-00001827","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO500","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"3","RJ45 Cable Lidar A (NAUO549)","Provided Part","1","","","","","In Work","","","","","","112128144","RJ45 Cable Lidar","prvd-R1132101478896-00001868","A","","","","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO549","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"3","RJ45 Cable Jetson A (NAUO550)","Provided Part","1","","","","","In Work","","","","","","112128144","RJ45 Cable Jetson","prvd-R1132101478896-00001869","A","","","","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO550","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"3","USB Cable A (NAUO571)","Provided Part","1","","","","","In Work","","","","","","112128144","USB Cable","prvd-R1132101478896-00001870","A","","","","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO571","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"3","USB A Plug A (NAUO572)","Provided Part","1","","","","","In Work","","","","","","112128144","USB A Plug","prvd-R1132101478896-00001871","A","","","","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO572","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"2","Center Chassis Assembly A (Center Chassis Assembly.1)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","Center Chassis Assembly","mass-R1132101478896-00000602","A","","","No","0s","0","","","","False","","0kg","","06/14/2024","","06/14/2024","Engineering Definition","kverma8000","Company Name","Common Space","False","False","","","","","","Center Chassis Assembly.1","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"3","Chassis Monocoque A (Manufacturing Assembly00000603.67)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","Chassis Monocoque","mass-R1132101478896-00000603","A","","","No","0s","0","","","","False","","0kg","","06/14/2024","","06/14/2024","Engineering Definition","kverma8000","Company Name","Common Space","False","False","","","","","","Manufacturing Assembly00000603.67","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Chassis Monocoque A (NAUO25)","Provided Part","1","","","","","In Work","","","","","","112128144","Chassis Monocoque","prvd-R1132101478896-00001739","A","","","","0s","0","","","","False","","0kg","","05/01/2024","","05/01/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO25","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"3","motor mount A (Manufacturing Assembly00000604.69)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","motor mount","mass-R1132101478896-00000604","A","","","No","0s","0","","","","False","","0kg","","06/14/2024","","06/14/2024","Engineering Definition","kverma8000","Company Name","Common Space","False","False","","","","","","Manufacturing Assembly00000604.69","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Motor Mount A (NAUO29)","Provided Part","1","","","","","In Work","","","","","","112128144","Motor Mount","prvd-R1132101478896-00001667","A","","","","0s","0","","","","False","","0kg","","04/11/2024","","04/11/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO29","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"3","Slipper Clutch.1 A (Slipper Clutch.1)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","Slipper Clutch.1","mass-R1132101478896-00000605","A","","","No","0s","0","","","","False","","0kg","","06/14/2024","","06/14/2024","Engineering Definition","kverma8000","Company Name","Common Space","False","False","","","","","","Slipper Clutch.1","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Center Drive Hub A (NAUO49)","Provided Part","1","","","","","In Work","","","","","","112128144","Center Drive Hub","prvd-R1132101478896-00001672","A","","","","0s","0","","","","False","","0kg","","04/11/2024","","04/11/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO49","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Steel Disc A (NAUO61)","Provided Part","1","","","","","In Work","","","","","","112128144","Steel Disc","prvd-R1132101478896-00001673","A","","","","0s","0","","","","False","","0kg","","04/11/2024","","04/11/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO61","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Spur Gear A (NAUO50)","Provided Part","1","","","","","In Work","","","","","","112128144","Spur Gear","prvd-R1132101478896-00001745","A","","","","0s","0","","","","False","","0kg","","05/01/2024","","05/01/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO50","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Input Shaft A (NAUO46)","Provided Part","1","","","","","In Work","","","","","","112128144","Input Shaft","prvd-R1132101478896-00001671","A","","","","0s","0","","","","False","","0kg","","04/11/2024","","04/11/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO46","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"3","Drive Shaft A (Drive Shaft.1)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","Drive Shaft","mass-R1132101478896-00000606","A","","","No","0s","0","","","","False","","0kg","","06/14/2024","","06/14/2024","Engineering Definition","kverma8000","Company Name","Common Space","False","False","","","","","","Drive Shaft.1","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Center Driveshaft A (NAUO39)","Provided Part","1","","","","","In Work","","","","","","112128144","Center Driveshaft","prvd-R1132101478896-00001750","A","","","","0s","0","","","","False","","0kg","","05/01/2024","","05/01/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO39","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"3","Steering Servo A (Steering Servo)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","Steering Servo","mass-R1132101478896-00000607","A","","","No","0s","0","","","","False","","0kg","","06/14/2024","","06/14/2024","Engineering Definition","kverma8000","Company Name","Common Space","False","False","","","","","","Steering Servo","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Servo Output Mount A (NAUO72)","Provided Part","1","","","","","In Work","","","","","","112128144","Servo Output Mount","prvd-R1132101478896-00001752","A","","","","0s","0","","","","False","","0kg","","05/01/2024","","05/01/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO72","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Servo Horn A (NAUO91)","Provided Part","1","","","","","In Work","","","","","","112128144","Servo Horn","prvd-R1132101478896-00001539","A","","","","0s","0","","","","False","","0kg","","04/10/2024","","04/10/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO91","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Servo A (NAUO74)","Provided Part","1","","","","","In Work","","","","","","112128144","Servo","prvd-R1132101478896-00001538","A","","","","0s","0","","","","False","","0kg","","04/10/2024","","04/10/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO74","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Rod End Servo A (NAUO82)","Provided Part","1","","","","","In Work","","","","","","112128144","Rod End Servo","prvd-R1132101478896-00001850","A","","","","0s","0","","","","False","","0kg","","06/14/2024","","06/14/2024","Engineering Definition","kverma8000","Company Name","Common Space","False","False","","","","","","NAUO82","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"3","nerf bar assembly A (nerf bar assembly.1)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","nerf bar assembly","mass-R1132101478896-00000611","A","","","No","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","nerf bar assembly.1","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Nerf Bar A (NAUO38)","Provided Part","1","","","","","In Work","","","","","","112128144","Nerf Bar","prvd-R1132101478896-00001853","A","","","","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO38","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"2","Font Axle Assembly A (Font Axle Assembly.1)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","Font Axle Assembly","mass-R1132101478896-00000293","A","","","No","0s","0","","","","False","","0kg","","04/12/2024","","05/01/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","Font Axle Assembly.1","","04/12/2024","05/01/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"3","Wheel Assembly A (Wheel Assembly.1)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","Wheel Assembly","mass-R1132101478896-00000582","A","","","No","0s","0","","","","False","","0kg","","06/14/2024","","06/14/2024","Engineering Definition","kverma8000","Company Name","Common Space","False","False","","","","","","Wheel Assembly.1","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Wheel Assy 1 A (Wheel Assy 1.1)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","Wheel Assy 1","mass-R1132101478896-00000583","A","","","No","0s","0","","","","False","","0kg","","06/14/2024","","06/14/2024","Engineering Definition","kverma8000","Company Name","Common Space","False","False","","","","","","Wheel Assy 1.1","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"5","Wheel Rim A (NAUO389)","Provided Part","1","","","","","In Work","","","","","","112128144","Wheel Rim","prvd-R1132101478896-00001582","A","","","","0s","0","","","","False","","0kg","","04/10/2024","","04/10/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO389","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"5","Tire A (NAUO390)","Provided Part","1","","","","","In Work","","","","","","112128144","Tire","prvd-R1132101478896-00001583","A","","","","0s","0","","","","False","","0kg","","04/10/2024","","04/10/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO390","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"5","Wheel Inset A (NAUO391)","Provided Part","1","","","","","In Work","","","","","","112128144","Wheel Inset","prvd-R1132101478896-00001584","A","","","","0s","0","","","","False","","0kg","","04/10/2024","","04/10/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO391","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Wheel Assy 2 A (Wheel Assy 2.1)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","Wheel Assy 2","mass-R1132101478896-00000584","A","","","No","0s","0","","","","False","","0kg","","06/14/2024","","06/14/2024","Engineering Definition","kverma8000","Company Name","Common Space","False","False","","","","","","Wheel Assy 2.1","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"5","Wheel Rim A (NAUO280)","Provided Part","1","","","","","In Work","","","","","","112128144","Wheel Rim","prvd-R1132101478896-00001843","A","","","","0s","0","","","","False","","0kg","","06/14/2024","","06/14/2024","Engineering Definition","kverma8000","Company Name","Common Space","False","False","","","","","","NAUO280","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"5","Tire A (NAUO281)","Provided Part","1","","","","","In Work","","","","","","112128144","Tire","prvd-R1132101478896-00001844","A","","","","0s","0","","","","False","","0kg","","06/14/2024","","06/14/2024","Engineering Definition","kverma8000","Company Name","Common Space","False","False","","","","","","NAUO281","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"5","Wheel Inset A (NAUO282)","Provided Part","1","","","","","In Work","","","","","","112128144","Wheel Inset","prvd-R1132101478896-00001845","A","","","","0s","0","","","","False","","0kg","","06/14/2024","","06/14/2024","Engineering Definition","kverma8000","Company Name","Common Space","False","False","","","","","","NAUO282","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"3","Drive Shaft Assembly A (Drive Shaft Assembly.1)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","Drive Shaft Assembly","mass-R1132101478896-00000585","A","","","No","0s","0","","","","False","","0kg","","06/14/2024","","06/14/2024","Engineering Definition","kverma8000","Company Name","Common Space","False","False","","","","","","Drive Shaft Assembly.1","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Drive Shaft Assy 1 A (Drive Shaft Assy 1.1)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","Drive Shaft Assy 1","mass-R1132101478896-00000586","A","","","No","0s","0","","","","False","","0kg","","06/14/2024","","06/14/2024","Engineering Definition","kverma8000","Company Name","Common Space","False","False","","","","","","Drive Shaft Assy 1.1","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"5","4628 Differential Output Yoke A (NAUO334)","Provided Part","1","","","","","In Work","","","","","","112128144","4628 Differential Output Yoke","prvd-R1132101478896-00001570","A","","","","0s","0","","","","False","","0kg","","04/10/2024","","04/10/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO334","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"5","1951D Drive Shaft External Half A (NAUO335)","Provided Part","1","","","","","In Work","","","","","","112128144","1951D Drive Shaft External Half","prvd-R1132101478896-00001571","A","","","","0s","0","","","","False","","0kg","","04/10/2024","","04/10/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO335","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"5","1951A Drive Shaft Internal Half A (NAUO336)","Provided Part","1","","","","","In Work","","","","","","112128144","1951A Drive Shaft Internal Half","prvd-R1132101478896-00001572","A","","","","0s","0","","","","False","","0kg","","04/10/2024","","04/10/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO336","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
